model,window_id,origin_date,target_date,horizon,y,y_hat,artifact_path,x_vix,x_spx_close,x_close_variance_forward_22,x_close_volatility_forward_22,error,squared_error,qlike_loss
"GARCH(1,1)",5,2015-01-02,2015-01-05,1,0.014301566440842331,0.022605123551966016,/content/daily_h22_run/results/models/garch/garch_window_05.json,17.79,2058.2,0.02998287110122845,0.17315562682520153,0.008303557111123685,6.894906069769271e-05,0.09047675840079128
"GARCH(1,1)",5,2015-01-02,2015-01-06,2,0.01561831176224052,0.023355165314651986,/content/daily_h22_run/results/models/garch/garch_window_05.json,17.79,2058.2,0.02998287110122845,0.17315562682520153,0.007736853552411466,5.9858902891461915e-05,0.07110463193522887
"GARCH(1,1)",5,2015-01-02,2015-01-07,3,0.015779675122665492,0.02426017399728674,/content/daily_h22_run/results/models/garch/garch_window_05.json,17.79,2058.2,0.02998287110122845,0.17315562682520153,0.008480498874621246,7.191886116245223e-05,0.08054871313338063
"GARCH(1,1)",5,2015-01-02,2015-01-08,4,0.01633699883493415,0.025157567068429317,/content/daily_h22_run/results/models/garch/garch_window_05.json,17.79,2058.2,0.02998287110122845,0.17315562682520153,0.008820568233495165,7.780242396174402e-05,0.08111339873820955
"GARCH(1,1)",5,2015-01-02,2015-01-09,5,0.016494950340411714,0.025487609671721173,/content/daily_h22_run/results/models/garch/garch_window_05.json,17.79,2058.2,0.02998287110122845,0.17315562682520153,0.008992659331309459,8.086792184898709e-05,0.082313401792107
"GARCH(1,1)",5,2015-01-02,2015-01-12,6,0.01566038390111897,0.026432996427549385,/content/daily_h22_run/results/models/garch/garch_window_05.json,17.79,2058.2,0.02998287110122845,0.17315562682520153,0.010772612526430414,0.00011604918064460546,0.1159347596050797
"GARCH(1,1)",5,2015-01-02,2015-01-13,7,0.018011539520546446,0.024274111273674653,/content/daily_h22_run/results/models/garch/garch_window_05.json,17.79,2058.2,0.02998287110122845,0.17315562682520153,0.006262571753128207,3.9219804963079305e-05,0.040403902170620176
"GARCH(1,1)",5,2015-01-02,2015-01-14,8,0.01844084872488741,0.025002118761153727,/content/daily_h22_run/results/models/garch/garch_window_05.json,17.79,2058.2,0.02998287110122845,0.17315562682520153,0.006561270036266317,4.30502644888062e-05,0.04196376784548361
"GARCH(1,1)",5,2015-01-02,2015-01-15,9,0.018686604919314988,0.02291212080867244,/content/daily_h22_run/results/models/garch/garch_window_05.json,17.79,2058.2,0.02998287110122845,0.17315562682520153,0.004225515889357451,1.7854984531212292e-05,0.019436379918386537
"GARCH(1,1)",5,2015-01-02,2015-01-16,10,0.01790359558528494,0.023427166166639802,/content/daily_h22_run/results/models/garch/garch_window_05.json,17.79,2058.2,0.02998287110122845,0.17315562682520153,0.005523570581354862,3.050983196720889e-05,0.0331184319305573
"GARCH(1,1)",5,2015-01-02,2015-01-20,11,0.015311646248454396,0.023581398320277808,/content/daily_h22_run/results/models/garch/garch_window_05.json,17.79,2058.2,0.02998287110122845,0.17315562682520153,0.008269752071823412,6.838879932942761e-05,0.0811548235883095
"GARCH(1,1)",5,2015-01-02,2015-01-21,12,0.015026569944245874,0.019926110044646894,/content/daily_h22_run/results/models/garch/garch_window_05.json,17.79,2058.2,0.02998287110122845,0.17315562682520153,0.00489954010040102,2.4005493195437636e-05,0.03632554232362395
"GARCH(1,1)",5,2015-01-02,2015-01-22,13,0.01535338243241501,0.014477555420392415,/content/daily_h22_run/results/models/garch/garch_window_05.json,17.79,2058.2,0.02998287110122845,0.17315562682520153,-0.0008758270120225956,7.670729549884278e-07,0.0017592484967534627
"GARCH(1,1)",5,2015-01-02,2015-01-23,14,0.015109001460262648,0.015249509860355009,/content/daily_h22_run/results/models/garch/garch_window_05.json,17.79,2058.2,0.02998287110122845,0.17315562682520153,0.00014050840009236128,1.974261049651507e-08,4.271110672759981e-05
"GARCH(1,1)",5,2015-01-02,2015-01-26,15,0.015453018148703278,0.01610154480912142,/content/daily_h22_run/results/models/garch/garch_window_05.json,17.79,2058.2,0.02998287110122845,0.17315562682520153,0.0006485266604181437,4.2058682927311034e-07,0.0008335901779028543
"GARCH(1,1)",5,2015-01-02,2015-01-27,16,0.016380598538715242,0.017091909919776997,/content/daily_h22_run/results/models/garch/garch_window_05.json,17.79,2058.2,0.02998287110122845,0.17315562682520153,0.0007113113810617543,5.059638808279802e-07,0.000890782982586602
"GARCH(1,1)",5,2015-01-02,2015-01-28,17,0.01767451707054977,0.01812437082925014,/content/daily_h22_run/results/models/garch/garch_window_05.json,17.79,2058.2,0.02998287110122845,0.17315562682520153,0.00044985375870036995,2.0236840421685066e-07,0.000313219293110345
"GARCH(1,1)",5,2015-01-02,2015-01-29,18,0.01899439366262889,0.01903936786743615,/content/daily_h22_run/results/models/garch/garch_window_05.json,17.79,2058.2,0.02998287110122845,0.17315562682520153,4.497420480725767e-05,2.022679098045159e-09,2.7943225322513143e-06
"GARCH(1,1)",5,2015-01-02,2015-01-30,19,0.01947790043034146,0.020078189603996693,/content/daily_h22_run/results/models/garch/garch_window_05.json,17.79,2058.2,0.02998287110122845,0.17315562682520153,0.0006002891736552329,3.603470920076824e-07,0.0004560452666813042
"GARCH(1,1)",5,2015-01-02,2015-02-02,20,0.02137700133561727,0.020857615105725882,/content/daily_h22_run/results/models/garch/garch_window_05.json,17.79,2058.2,0.02998287110122845,0.17315562682520153,-0.0005193862298913873,2.6976205580078907e-07,0.0003049899695759528
"GARCH(1,1)",5,2015-01-02,2015-02-03,21,0.021292055817805845,0.020688818753497575,/content/daily_h22_run/results/models/garch/garch_window_05.json,17.79,2058.2,0.02998287110122845,0.17315562682520153,-0.00060323706430827,3.6389495575525993e-07,0.0004169975137626736
"GARCH(1,1)",5,2015-01-02,2015-02-04,22,0.020828360989592714,0.021756164830598074,/content/daily_h22_run/results/models/garch/garch_window_05.json,17.79,2058.2,0.02998287110122845,0.17315562682520153,0.0009278038410053605,8.608199673843002e-07,0.0009360303885117549
"GARCH(1,1)",5,2015-01-05,2015-01-06,1,0.01561831176224052,0.02661717344973691,/content/daily_h22_run/results/models/garch/garch_window_05.json,19.92,2020.58,0.027285708100629892,0.1651838615017517,0.010998861687496388,0.0001209749584206759,0.11988831341350425
"GARCH(1,1)",5,2015-01-05,2015-01-07,2,0.015779675122665492,0.027786206749058972,/content/daily_h22_run/results/models/garch/garch_window_05.json,19.92,2020.58,0.027285708100629892,0.1651838615017517,0.01200653162639348,0.00014415680169558686,0.13371299054934305
"GARCH(1,1)",5,2015-01-05,2015-01-08,3,0.01633699883493415,0.028944679699649853,/content/daily_h22_run/results/models/garch/garch_window_05.json,19.92,2020.58,0.027285708100629892,0.1651838615017517,0.012607680864715701,0.00015895361678651846,0.13637548479279626
