model,window_id,origin_date,target_date,horizon,y,y_hat,artifact_path,x_atr_14,x_vix,x_stress_index,x_true_range,x_parkinson,x_bollinger_width_20,x_macd,x_garman_klass,x_spy_volume,x_baa_aaa_spread,x_vix_term_spread,x_volume_medio_22d,x_ret_spx_abs,x_rogers_satchell,x_rv_diaria,x_baa,x_roc_10,x_rsi_14,x_ust_3m,x_spx_low,x_spx_close,x_close_variance_forward_22,x_close_volatility_forward_22,error,squared_error,qlike_loss
LSTM,1,2011-01-03,2011-01-04,1,0.0050090604711606765,0.007757178150482431,/content/daily_h22_run/results/models/lstm/lstm_window_01.pt,9.383827623443905,17.61,-0.2444,18.55,7.73279772e-05,0.0434612536,14.92226571820356,5.815923911e-05,138725191,1.11,3.01,117577725.0,0.01125130963,4.942010607e-05,0.0001265919685,6.04,0.02247751043,75.53149068579087,0.1197,1257.62,1271.87,0.011764620722793401,0.10846483634244511,0.0027481176793217547,7.552150779400786e-06,0.08310255860510485
LSTM,1,2011-01-03,2011-01-05,2,0.005125643703682044,0.008052215705192541,/content/daily_h22_run/results/models/lstm/lstm_window_01.pt,9.383827623443905,17.61,-0.2444,18.55,7.73279772e-05,0.0434612536,14.92226571820356,5.815923911e-05,138725191,1.11,3.01,117577725.0,0.01125130963,4.942010607e-05,0.0001265919685,6.04,0.02247751043,75.53149068579087,0.1197,1257.62,1271.87,0.011764620722793401,0.10846483634244511,0.002926572001510497,8.564823680025158e-06,0.08824189845250796
LSTM,1,2011-01-03,2011-01-06,3,0.005211320176283778,0.008019338730105107,/content/daily_h22_run/results/models/lstm/lstm_window_01.pt,9.383827623443905,17.61,-0.2444,18.55,7.73279772e-05,0.0434612536,14.92226571820356,5.815923911e-05,138725191,1.11,3.01,117577725.0,0.01125130963,4.942010607e-05,0.0001265919685,6.04,0.02247751043,75.53149068579087,0.1197,1257.62,1271.87,0.011764620722793401,0.10846483634244511,0.0028080185538213297,7.884968198604832e-06,0.08086687645875434
LSTM,1,2011-01-03,2011-01-07,4,0.005357848214659459,0.008138683705096733,/content/daily_h22_run/results/models/lstm/lstm_window_01.pt,9.383827623443905,17.61,-0.2444,18.55,7.73279772e-05,0.0434612536,14.92226571820356,5.815923911e-05,138725191,1.11,3.01,117577725.0,0.01125130963,4.942010607e-05,0.0001265919685,6.04,0.02247751043,75.53149068579087,0.1197,1257.62,1271.87,0.011764620722793401,0.10846483634244511,0.0027808354904372747,7.733046024875519e-06,0.0763847840874452
LSTM,1,2011-01-03,2011-01-10,5,0.005440319274201382,0.007792588450947477,/content/daily_h22_run/results/models/lstm/lstm_window_01.pt,9.383827623443905,17.61,-0.2444,18.55,7.73279772e-05,0.0434612536,14.92226571820356,5.815923911e-05,138725191,1.11,3.01,117577725.0,0.01125130963,4.942010607e-05,0.0001265919685,6.04,0.02247751043,75.53149068579087,0.1197,1257.62,1271.87,0.011764620722793401,0.10846483634244511,0.002352269176746095,5.533170279869751e-06,0.057475535983780635
LSTM,1,2011-01-03,2011-01-11,6,0.0054478462245297855,0.007999075922918637,/content/daily_h22_run/results/models/lstm/lstm_window_01.pt,9.383827623443905,17.61,-0.2444,18.55,7.73279772e-05,0.0434612536,14.92226571820356,5.815923911e-05,138725191,1.11,3.01,117577725.0,0.01125130963,4.942010607e-05,0.0001265919685,6.04,0.02247751043,75.53149068579087,0.1197,1257.62,1271.87,0.011764620722793401,0.10846483634244511,0.0025512296983888514,6.50877297394127e-06,0.06516512995932788
LSTM,1,2011-01-03,2011-01-12,7,0.005497559797624746,0.008228185349242476,/content/daily_h22_run/results/models/lstm/lstm_window_01.pt,9.383827623443905,17.61,-0.2444,18.55,7.73279772e-05,0.0434612536,14.92226571820356,5.815923911e-05,138725191,1.11,3.01,117577725.0,0.01125130963,4.942010607e-05,0.0001265919685,6.04,0.02247751043,75.53149068579087,0.1197,1257.62,1271.87,0.011764620722793401,0.10846483634244511,0.00273062555161773,7.4563159031476335e-06,0.0713987515507426
LSTM,1,2011-01-03,2011-01-13,8,0.005427454889892706,0.006955900698098446,/content/daily_h22_run/results/models/lstm/lstm_window_01.pt,9.383827623443905,17.61,-0.2444,18.55,7.73279772e-05,0.0434612536,14.92226571820356,5.815923911e-05,138725191,1.11,3.01,117577725.0,0.01125130963,4.942010607e-05,0.0001265919685,6.04,0.02247751043,75.53149068579087,0.1197,1257.62,1271.87,0.011764620722793401,0.10846483634244511,0.00152844580820574,2.3361465886216976e-06,0.028386307753840434
LSTM,1,2011-01-03,2011-01-14,9,0.005383293310627093,0.008056320950405838,/content/daily_h22_run/results/models/lstm/lstm_window_01.pt,9.383827623443905,17.61,-0.2444,18.55,7.73279772e-05,0.0434612536,14.92226571820356,5.815923911e-05,138725191,1.11,3.01,117577725.0,0.01125130963,4.942010607e-05,0.0001265919685,6.04,0.02247751043,75.53149068579087,0.1197,1257.62,1271.87,0.011764620722793401,0.10846483634244511,0.0026730276397787444,7.145076763021125e-06,0.07136407244792609
LSTM,1,2011-01-03,2011-01-18,10,0.005194804498286773,0.00808997588440652,/content/daily_h22_run/results/models/lstm/lstm_window_01.pt,9.383827623443905,17.61,-0.2444,18.55,7.73279772e-05,0.0434612536,14.92226571820356,5.815923911e-05,138725191,1.11,3.01,117577725.0,0.01125130963,4.942010607e-05,0.0001265919685,6.04,0.02247751043,75.53149068579087,0.1197,1257.62,1271.87,0.011764620722793401,0.10846483634244511,0.0028951713861197466,8.382017355006535e-06,0.08509531072019239
