model,window_id,origin_date,target_date,horizon,y,y_hat,artifact_path,x_atr_14,x_vix_term_spread,x_stress_index,x_vix,x_parkinson,x_volume_medio_22d,x_spy_volume,x_true_range,x_bollinger_width_20,x_garman_klass,x_macd,x_baa,x_ret_spx_abs,x_baa_aaa_spread,x_rv_diaria,x_rogers_satchell,x_ukx_close,x_spx_low,x_roc_10,x_indu_close,x_spx_close,x_close_variance_forward_22,x_close_volatility_forward_22,error,squared_error,qlike_loss
LSTM,6,2016-01-04,2016-01-05,1,0.017270168088121304,0.015835054582165674,/content/daily_h22_run/results/models/lstm/lstm_window_06.pt,26.32558111802694,1.31,0.3858,20.7,0.0002093654871,138671936.3,222353534,54.26,0.04736264751,0.0002288183226,-4.819601866252469,5.48,0.01542208745,1.45,0.0002378407812,0.0002766725579,6093.43,1989.68,-0.01431516879,17148.94,2012.66,0.051217910369908255,0.22631374321924919,-0.0014351135059556298,2.0595507749762598e-06,0.003874397287275233
LSTM,6,2016-01-04,2016-01-06,2,0.01707874747507813,0.01329158973256925,/content/daily_h22_run/results/models/lstm/lstm_window_06.pt,26.32558111802694,1.31,0.3858,20.7,0.0002093654871,138671936.3,222353534,54.26,0.04736264751,0.0002288183226,-4.819601866252469,5.48,0.01542208745,1.45,0.0002378407812,0.0002766725579,6093.43,1989.68,-0.01431516879,17148.94,2012.66,0.051217910369908255,0.22631374321924919,-0.003787157742508882,1.434256376664497e-05,0.03422550893056853
LSTM,6,2016-01-04,2016-01-07,3,0.017275890058483578,0.014832845606036175,/content/daily_h22_run/results/models/lstm/lstm_window_06.pt,26.32558111802694,1.31,0.3858,20.7,0.0002093654871,138671936.3,222353534,54.26,0.04736264751,0.0002288183226,-4.819601866252469,5.48,0.01542208745,1.45,0.0002378407812,0.0002766725579,6093.43,1989.68,-0.01431516879,17148.94,2012.66,0.051217910369908255,0.22631374321924919,-0.0024430444524474026,5.968466196634029e-06,0.012237169813227089
LSTM,6,2016-01-04,2016-01-08,4,0.01857724086179332,0.015677734625125027,/content/daily_h22_run/results/models/lstm/lstm_window_06.pt,26.32558111802694,1.31,0.3858,20.7,0.0002093654871,138671936.3,222353534,54.26,0.04736264751,0.0002288183226,-4.819601866252469,5.48,0.01542208745,1.45,0.0002378407812,0.0002766725579,6093.43,1989.68,-0.01431516879,17148.94,2012.66,0.051217910369908255,0.22631374321924919,-0.002899506236668292,8.407136416478322e-06,0.015248516608700857
LSTM,6,2016-01-04,2016-01-11,5,0.019867072374134955,0.017800192534573652,/content/daily_h22_run/results/models/lstm/lstm_window_06.pt,26.32558111802694,1.31,0.3858,20.7,0.0002093654871,138671936.3,222353534,54.26,0.04736264751,0.0002288183226,-4.819601866252469,5.48,0.01542208745,1.45,0.0002378407812,0.0002766725579,6093.43,1989.68,-0.01431516879,17148.94,2012.66,0.051217910369908255,0.22631374321924919,-0.002066879839561303,4.271992271184958e-06,0.0062611560262917365
LSTM,6,2016-01-04,2016-01-12,6,0.01922992071910438,0.011616298782770816,/content/daily_h22_run/results/models/lstm/lstm_window_06.pt,26.32558111802694,1.31,0.3858,20.7,0.0002093654871,138671936.3,222353534,54.26,0.04736264751,0.0002288183226,-4.819601866252469,5.48,0.01542208745,1.45,0.0002378407812,0.0002766725579,6093.43,1989.68,-0.01431516879,17148.94,2012.66,0.051217910369908255,0.22631374321924919,-0.0076136219363335655,5.7967238989419674e-05,0.1513675437587132
LSTM,6,2016-01-04,2016-01-13,7,0.02147475744061237,0.01344805722613949,/content/daily_h22_run/results/models/lstm/lstm_window_06.pt,26.32558111802694,1.31,0.3858,20.7,0.0002093654871,138671936.3,222353534,54.26,0.04736264751,0.0002288183226,-4.819601866252469,5.48,0.01542208745,1.45,0.0002378407812,0.0002766725579,6093.43,1989.68,-0.01431516879,17148.94,2012.66,0.051217910369908255,0.22631374321924919,-0.00802670021447288,6.442791633301897e-05,0.12882337764544416
LSTM,6,2016-01-04,2016-01-14,8,0.024282675330279814,0.014812209437305643,/content/daily_h22_run/results/models/lstm/lstm_window_06.pt,26.32558111802694,1.31,0.3858,20.7,0.0002093654871,138671936.3,222353534,54.26,0.04736264751,0.0002288183226,-4.819601866252469,5.48,0.01542208745,1.45,0.0002378407812,0.0002766725579,6093.43,1989.68,-0.01431516879,17148.94,2012.66,0.051217910369908255,0.22631374321924919,-0.009470465892974171,8.968972422998706e-05,0.14505754504514612
LSTM,6,2016-01-04,2016-01-15,9,0.02700250615504825,0.017616739186946628,/content/daily_h22_run/results/models/lstm/lstm_window_06.pt,26.32558111802694,1.31,0.3858,20.7,0.0002093654871,138671936.3,222353534,54.26,0.04736264751,0.0002288183226,-4.819601866252469,5.48,0.01542208745,1.45,0.0002378407812,0.0002766725579,6093.43,1989.68,-0.01431516879,17148.94,2012.66,0.051217910369908255,0.22631374321924919,-0.009385766968101623,8.809262157950755e-05,0.10569535451819778
LSTM,6,2016-01-04,2016-01-19,10,0.028057962590189826,0.011711428281957901,/content/daily_h22_run/results/models/lstm/lstm_window_06.pt,26.32558111802694,1.31,0.3858,20.7,0.0002093654871,138671936.3,222353534,54.26,0.04736264751,0.0002288183226,-4.819601866252469,5.48,0.01542208745,1.45,0.0002378407812,0.0002766725579,6093.43,1989.68,-0.01431516879,17148.94,2012.66,0.051217910369908255,0.22631374321924919,-0.016346534308231925,0.0002672091838902034,0.5220690016323233
LSTM,6,2016-01-04,2016-01-20,11,0.035867546853252226,0.015097345571269835,/content/daily_h22_run/results/models/lstm/lstm_window_06.pt,26.32558111802694,1.31,0.3858,20.7,0.0002093654871,138671936.3,222353534,54.26,0.04736264751,0.0002288183226,-4.819601866252469,5.48,0.01542208745,1.45,0.0002378407812,0.0002766725579,6093.43,1989.68,-0.01431516879,17148.94,2012.66,0.051217910369908255,0.22631374321924919,-0.02077020128198239,0.000431401261294063,0.510437901178812
LSTM,6,2016-01-04,2016-01-21,12,0.03795030096625828,0.017103148576270266,/content/daily_h22_run/results/models/lstm/lstm_window_06.pt,26.32558111802694,1.31,0.3858,20.7,0.0002093654871,138671936.3,222353534,54.26,0.04736264751,0.0002288183226,-4.819601866252469,5.48,0.01542208745,1.45,0.0002378407812,0.0002766725579,6093.43,1989.68,-0.01431516879,17148.94,2012.66,0.051217910369908255,0.22631374321924919,-0.020847152389988015,0.000434603762771383,0.4218924240620292
LSTM,6,2016-01-04,2016-01-22,13,0.03858248641690871,0.014978842924562535,/content/daily_h22_run/results/models/lstm/lstm_window_06.pt,26.32558111802694,1.31,0.3858,20.7,0.0002093654871,138671936.3,222353534,54.26,0.04736264751,0.0002288183226,-4.819601866252469,5.48,0.01542208745,1.45,0.0002378407812,0.0002766725579,6093.43,1989.68,-0.01431516879,17148.94,2012.66,0.051217910369908255,0.22631374321924919,-0.02360364349234617,0.0005571319861137758,0.6296391325180763
