model,window_id,origin_date,target_date,horizon,y,y_hat,artifact_path,x_vix,x_volume_medio_22d,x_spy_volume,x_stress_index,x_ukx_close,x_baa_aaa_spread,x_baa,x_bollinger_width_20,x_obv,x_parkinson,x_indu_close,x_garman_klass,x_cpi,x_ndx_close,x_vix_term_spread,x_ret_spx_abs,x_atr_14,x_rv_diaria,x_industrial_production,x_aaa,x_spx_close,x_close_variance_forward_22,x_close_volatility_forward_22,error,squared_error,qlike_loss
LSTM,9,2019-01-02,2019-01-03,1,0.07308621149830524,0.060205068206687175,/content/daily_h22_run/results/models/lstm/lstm_window_09.pt,23.22,157813269.5,126925199,0.5443,6734.23,1.16,5.11,0.1703148696,8683108220,0.0001569910775,23346.24,0.0001496869367,252.594,6360.87,-0.47,0.001267720346,60.93203316694545,1.607114877e-06,104.0681,3.95,2510.03,0.03465801580886697,0.18616663452097684,-0.012881143291618068,0.00016592385249919713,0.02007128169321626
LSTM,9,2019-01-02,2019-01-04,2,0.07600941049377075,0.05545201488180832,/content/daily_h22_run/results/models/lstm/lstm_window_09.pt,23.22,157813269.5,126925199,0.5443,6734.23,1.16,5.11,0.1703148696,8683108220,0.0001569910775,23346.24,0.0001496869367,252.594,6360.87,-0.47,0.001267720346,60.93203316694545,1.607114877e-06,104.0681,3.95,2510.03,0.03465801580886697,0.18616663452097684,-0.020557395611962424,0.00042260651434673194,0.05538494648167358
LSTM,9,2019-01-02,2019-01-07,3,0.0752740735000332,0.06827540676923095,/content/daily_h22_run/results/models/lstm/lstm_window_09.pt,23.22,157813269.5,126925199,0.5443,6734.23,1.16,5.11,0.1703148696,8683108220,0.0001569910775,23346.24,0.0001496869367,252.594,6360.87,-0.47,0.001267720346,60.93203316694545,1.607114877e-06,104.0681,3.95,2510.03,0.03465801580886697,0.18616663452097684,-0.006998666730802253,4.898133600883829e-05,0.004920267471462347
LSTM,9,2019-01-02,2019-01-08,4,0.0749246462201516,0.050663044268237076,/content/daily_h22_run/results/models/lstm/lstm_window_09.pt,23.22,157813269.5,126925199,0.5443,6734.23,1.16,5.11,0.1703148696,8683108220,0.0001569910775,23346.24,0.0001496869367,252.594,6360.87,-0.47,0.001267720346,60.93203316694545,1.607114877e-06,104.0681,3.95,2510.03,0.03465801580886697,0.18616663452097684,-0.024261601951914527,0.0005886253292731428,0.08759548795929062
LSTM,9,2019-01-02,2019-01-09,5,0.06855355672102686,0.047285645776654804,/content/daily_h22_run/results/models/lstm/lstm_window_09.pt,23.22,157813269.5,126925199,0.5443,6734.23,1.16,5.11,0.1703148696,8683108220,0.0001569910775,23346.24,0.0001496869367,252.594,6360.87,-0.47,0.001267720346,60.93203316694545,1.607114877e-06,104.0681,3.95,2510.03,0.03465801580886697,0.18616663452097684,-0.02126791094437206,0.0004523240359377409,0.07836669110630545
LSTM,9,2019-01-02,2019-01-10,6,0.06616358290444857,0.05686229186816036,/content/daily_h22_run/results/models/lstm/lstm_window_09.pt,23.22,157813269.5,126925199,0.5443,6734.23,1.16,5.11,0.1703148696,8683108220,0.0001569910775,23346.24,0.0001496869367,252.594,6360.87,-0.47,0.001267720346,60.93203316694545,1.607114877e-06,104.0681,3.95,2510.03,0.03465801580886697,0.18616663452097684,-0.009301291036288212,8.651401494173544e-05,0.012077940594143577
LSTM,9,2019-01-02,2019-01-11,7,0.0626109588021998,0.05083408400794279,/content/daily_h22_run/results/models/lstm/lstm_window_09.pt,23.22,157813269.5,126925199,0.5443,6734.23,1.16,5.11,0.1703148696,8683108220,0.0001569910775,23346.24,0.0001496869367,252.594,6360.87,-0.47,0.001267720346,60.93203316694545,1.607114877e-06,104.0681,3.95,2510.03,0.03465801580886697,0.18616663452097684,-0.011776874794257014,0.0001386947799196062,0.023299555379881598
LSTM,9,2019-01-02,2019-01-14,8,0.060393796583818625,0.05099518833836423,/content/daily_h22_run/results/models/lstm/lstm_window_09.pt,23.22,157813269.5,126925199,0.5443,6734.23,1.16,5.11,0.1703148696,8683108220,0.0001569910775,23346.24,0.0001496869367,252.594,6360.87,-0.47,0.001267720346,60.93203316694545,1.607114877e-06,104.0681,3.95,2510.03,0.03465801580886697,0.18616663452097684,-0.009398608245454396,8.833383695152335e-05,0.015148712437092371
LSTM,9,2019-01-02,2019-01-15,9,0.058441154773705345,0.05494259762489352,/content/daily_h22_run/results/models/lstm/lstm_window_09.pt,23.22,157813269.5,126925199,0.5443,6734.23,1.16,5.11,0.1703148696,8683108220,0.0001569910775,23346.24,0.0001496869367,252.594,6360.87,-0.47,0.001267720346,60.93203316694545,1.607114877e-06,104.0681,3.95,2510.03,0.03465801580886697,0.18616663452097684,-0.0034985571488118233,1.2239902123502315e-05,0.0019452019278178856
LSTM,9,2019-01-02,2019-01-16,10,0.05777887198762941,0.05762098470521529,/content/daily_h22_run/results/models/lstm/lstm_window_09.pt,23.22,157813269.5,126925199,0.5443,6734.23,1.16,5.11,0.1703148696,8683108220,0.0001569910775,23346.24,0.0001496869367,252.594,6360.87,-0.47,0.001267720346,60.93203316694545,1.607114877e-06,104.0681,3.95,2510.03,0.03465801580886697,0.18616663452097684,-0.00015788728241412225,2.49283939481168e-08,3.7472314291520092e-06
LSTM,9,2019-01-02,2019-01-17,11,0.05711357195863517,0.04779157803840519,/content/daily_h22_run/results/models/lstm/lstm_window_09.pt,23.22,157813269.5,126925199,0.5443,6734.23,1.16,5.11,0.1703148696,8683108220,0.0001569910775,23346.24,0.0001496869367,252.594,6360.87,-0.47,0.001267720346,60.93203316694545,1.607114877e-06,104.0681,3.95,2510.03,0.03465801580886697,0.18616663452097684,-0.009321993920229983,8.689957064880476e-05,0.01686281675190493
LSTM,9,2019-01-02,2019-01-18,12,0.0549333488759218,0.04131165341723743,/content/daily_h22_run/results/models/lstm/lstm_window_09.pt,23.22,157813269.5,126925199,0.5443,6734.23,1.16,5.11,0.1703148696,8683108220,0.0001569910775,23346.24,0.0001496869367,252.594,6360.87,-0.47,0.001267720346,60.93203316694545,1.607114877e-06,104.0681,3.95,2510.03,0.03465801580886697,0.18616663452097684,-0.013621695458684371,0.00018555058716914242,0.04475410976787231
LSTM,9,2019-01-02,2019-01-22,13,0.05433092892614826,0.04772355228340889,/content/daily_h22_run/results/models/lstm/lstm_window_09.pt,23.22,157813269.5,126925199,0.5443,6734.23,1.16,5.11,0.1703148696,8683108220,0.0001569910775,23346.24,0.0001496869367,252.594,6360.87,-0.47,0.001267720346,60.93203316694545,1.607114877e-06,104.0681,3.95,2510.03,0.03465801580886697,0.18616663452097684,-0.006607376642739374,4.365742609901784e-05,0.008782441404912245
LSTM,9,2019-01-02,2019-01-23,14,0.04921581272541458,0.04438478389175248,/content/daily_h22_run/results/models/lstm/lstm_window_09.pt,23.22,157813269.5,126925199,0.5443,6734.23,1.16,5.11,0.1703148696,8683108220,0.0001569910775,23346.24,0.0001496869367,252.594,6360.87,-0.47,0.001267720346,60.93203316694545,1.607114877e-06,104.0681,3.95,2510.03,0.03465801580886697,0.18616663452097684,-0.004831028833662099,2.3338839591674578e-05,0.005525994040856075
LSTM,9,2019-01-02,2019-01-24,15,0.04577892375292386,0.042644267101788834,/content/daily_h22_run/results/models/lstm/lstm_window_09.pt,23.22,157813269.5,126925199,0.5443,6734.23,1.16,5.11,0.1703148696,8683108220,0.0001569910775,23346.24,0.0001496869367,252.594,6360.87,-0.47,0.001267720346,60.93203316694545,1.607114877e-06,104.0681,3.95,2510.03,0.03465801580886697,0.18616663452097684,-0.0031346566511350274,9.826072320505066e-06,0.0025761481985071555
LSTM,9,2019-01-02,2019-01-25,16,0.03910777456343546,0.039276362272965146,/content/daily_h22_run/results/models/lstm/lstm_window_09.pt,23.22,157813269.5,126925199,0.5443,6734.23,1.16,5.11,0.1703148696,8683108220,0.0001569910775,23346.24,0.0001496869367,252.594,6360.87,-0.47,0.001267720346,60.93203316694545,1.607114877e-06,104.0681,3.95,2510.03,0.03465801580886697,0.18616663452097684,0.00016858770952968283,2.842181580446471e-08,9.238560350288694e-06
