model,window_id,origin_date,target_date,horizon,y,y_hat,artifact_path,x_true_range,x_parkinson,x_vix_term_spread,x_vix,x_garman_klass,x_ret_spx_abs,x_bollinger_width_20,x_rv_diaria,x_rogers_satchell,x_atr_14,x_spy_volume,x_roc_10,x_macd,x_yield_slope,x_rsi_14,x_ust_10y,x_volume_medio_22d,x_adx_14,x_aaa,x_stress_index,x_spx_close,x_close_variance_forward_22,x_close_volatility_forward_22,error,squared_error,qlike_loss
LSTM,14,2024-01-02,2024-01-03,1,0.0071133804359937,0.010718312470030366,/content/daily_h22_run/results/models/lstm/lstm_window_14.pt,47.16,1.610118463e-05,2.28,13.2,2.222457126e-05,0.005676660893,0.06935501677,3.222447889e-05,2.492811189e-05,37.5172158871955,123007793,0.005009334229,70.00565705401277,-1.4334,64.0780737037818,3.9294,85009907.18,49.86913133005355,4.75,-0.434,4742.83,0.013900260193087871,0.11789936468483565,0.0036049320340366658,1.2995534970023733e-05,0.07364222686487598
LSTM,14,2024-01-02,2024-01-04,2,0.00737775664748445,0.009670317649232495,/content/daily_h22_run/results/models/lstm/lstm_window_14.pt,47.16,1.610118463e-05,2.28,13.2,2.222457126e-05,0.005676660893,0.06935501677,3.222447889e-05,2.492811189e-05,37.5172158871955,123007793,0.005009334229,70.00565705401277,-1.4334,64.0780737037818,3.9294,85009907.18,49.86913133005355,4.75,-0.434,4742.83,0.013900260193087871,0.11789936468483565,0.0022925610017480455,5.255835946736002e-06,0.03351959902127799
LSTM,14,2024-01-02,2024-01-05,3,0.00705193915976666,0.01057077312905146,/content/daily_h22_run/results/models/lstm/lstm_window_14.pt,47.16,1.610118463e-05,2.28,13.2,2.222457126e-05,0.005676660893,0.06935501677,3.222447889e-05,2.492811189e-05,37.5172158871955,123007793,0.005009334229,70.00565705401277,-1.4334,64.0780737037818,3.9294,85009907.18,49.86913133005355,4.75,-0.434,4742.83,0.013900260193087871,0.11789936468483565,0.0035188339692848007,1.2382192503392625e-05,0.07190699182494287
LSTM,14,2024-01-02,2024-01-08,4,0.0071561479626332395,0.01013095392831804,/content/daily_h22_run/results/models/lstm/lstm_window_14.pt,47.16,1.610118463e-05,2.28,13.2,2.222457126e-05,0.005676660893,0.06935501677,3.222447889e-05,2.492811189e-05,37.5172158871955,123007793,0.005009334229,70.00565705401277,-1.4334,64.0780737037818,3.9294,85009907.18,49.86913133005355,4.75,-0.434,4742.83,0.013900260193087871,0.11789936468483565,0.002974805965684801,8.849470533473881e-06,0.05398831369316648
LSTM,14,2024-01-02,2024-01-09,5,0.00713747168809483,0.007913172091458791,/content/daily_h22_run/results/models/lstm/lstm_window_14.pt,47.16,1.610118463e-05,2.28,13.2,2.222457126e-05,0.005676660893,0.06935501677,3.222447889e-05,2.492811189e-05,37.5172158871955,123007793,0.005009334229,70.00565705401277,-1.4334,64.0780737037818,3.9294,85009907.18,49.86913133005355,4.75,-0.434,4742.83,0.013900260193087871,0.11789936468483565,0.0007757004033639619,6.017111157790131e-07,0.005143636302010535
LSTM,14,2024-01-02,2024-01-10,6,0.006970150753976596,0.01139506874054186,/content/daily_h22_run/results/models/lstm/lstm_window_14.pt,47.16,1.610118463e-05,2.28,13.2,2.222457126e-05,0.005676660893,0.06935501677,3.222447889e-05,2.492811189e-05,37.5172158871955,123007793,0.005009334229,70.00565705401277,-1.4334,64.0780737037818,3.9294,85009907.18,49.86913133005355,4.75,-0.434,4742.83,0.013900260193087871,0.11789936468483565,0.004424917986565264,1.957989918782879e-05,0.10322516740888865
LSTM,14,2024-01-02,2024-01-11,7,0.007852586088308477,0.011581810144662703,/content/daily_h22_run/results/models/lstm/lstm_window_14.pt,47.16,1.610118463e-05,2.28,13.2,2.222457126e-05,0.005676660893,0.06935501677,3.222447889e-05,2.492811189e-05,37.5172158871955,123007793,0.005009334229,70.00565705401277,-1.4334,64.0780737037818,3.9294,85009907.18,49.86913133005355,4.75,-0.434,4742.83,0.013900260193087871,0.11789936468483565,0.0037292240563542266,1.3907112062491071e-05,0.0666031191979013
LSTM,14,2024-01-02,2024-01-12,8,0.008037811072187845,0.014551678721878247,/content/daily_h22_run/results/models/lstm/lstm_window_14.pt,47.16,1.610118463e-05,2.28,13.2,2.222457126e-05,0.005676660893,0.06935501677,3.222447889e-05,2.492811189e-05,37.5172158871955,123007793,0.005009334229,70.00565705401277,-1.4334,64.0780737037818,3.9294,85009907.18,49.86913133005355,4.75,-0.434,4742.83,0.013900260193087871,0.11789936468483565,0.006513867649690402,4.2430471757683155e-05,0.14591271993853283
LSTM,14,2024-01-02,2024-01-16,9,0.008189766157452288,0.009150073441135654,/content/daily_h22_run/results/models/lstm/lstm_window_14.pt,47.16,1.610118463e-05,2.28,13.2,2.222457126e-05,0.005676660893,0.06935501677,3.222447889e-05,2.492811189e-05,37.5172158871955,123007793,0.005009334229,70.00565705401277,-1.4334,64.0780737037818,3.9294,85009907.18,49.86913133005355,4.75,-0.434,4742.83,0.013900260193087871,0.11789936468483565,0.0009603072836833655,9.221900790953239e-07,0.00592578702403368
LSTM,14,2024-01-02,2024-01-17,10,0.008422110402733865,0.013939695849983393,/content/daily_h22_run/results/models/lstm/lstm_window_14.pt,47.16,1.610118463e-05,2.28,13.2,2.222457126e-05,0.005676660893,0.06935501677,3.222447889e-05,2.492811189e-05,37.5172158871955,123007793,0.005009334229,70.00565705401277,-1.4334,64.0780737037818,3.9294,85009907.18,49.86913133005355,4.75,-0.434,4742.83,0.013900260193087871,0.11789936468483565,0.0055175854472495275,3.044374916769977e-05,0.1080619389449371
LSTM,14,2024-01-02,2024-01-18,11,0.00852856755532056,0.015440676705472358,/content/daily_h22_run/results/models/lstm/lstm_window_14.pt,47.16,1.610118463e-05,2.28,13.2,2.222457126e-05,0.005676660893,0.06935501677,3.222447889e-05,2.492811189e-05,37.5172158871955,123007793,0.005009334229,70.00565705401277,-1.4334,64.0780737037818,3.9294,85009907.18,49.86913133005355,4.75,-0.434,4742.83,0.013900260193087871,0.11789936468483565,0.006912109150151799,4.777725290361222e-05,0.1459281113186941
LSTM,14,2024-01-02,2024-01-19,12,0.008943170404504205,0.011885092803181348,/content/daily_h22_run/results/models/lstm/lstm_window_14.pt,47.16,1.610118463e-05,2.28,13.2,2.222457126e-05,0.005676660893,0.06935501677,3.222447889e-05,2.492811189e-05,37.5172158871955,123007793,0.005009334229,70.00565705401277,-1.4334,64.0780737037818,3.9294,85009907.18,49.86913133005355,4.75,-0.434,4742.83,0.013900260193087871,0.11789936468483565,0.002941922398677143,8.654907399838274e-06,0.03686429909163591
LSTM,14,2024-01-02,2024-01-22,13,0.009053488828035508,0.015779231627145812,/content/daily_h22_run/results/models/lstm/lstm_window_14.pt,47.16,1.610118463e-05,2.28,13.2,2.222457126e-05,0.005676660893,0.06935501677,3.222447889e-05,2.492811189e-05,37.5172158871955,123007793,0.005009334229,70.00565705401277,-1.4334,64.0780737037818,3.9294,85009907.18,49.86913133005355,4.75,-0.434,4742.83,0.013900260193087871,0.11789936468483565,0.006725742799110304,4.5235616199784106e-05,0.12930423500152255
LSTM,14,2024-01-02,2024-01-23,14,0.009145826030090468,0.015053654131328417,/content/daily_h22_run/results/models/lstm/lstm_window_14.pt,47.16,1.610118463e-05,2.28,13.2,2.222457126e-05,0.005676660893,0.06935501677,3.222447889e-05,2.492811189e-05,37.5172158871955,123007793,0.005009334229,70.00565705401277,-1.4334,64.0780737037818,3.9294,85009907.18,49.86913133005355,4.75,-0.434,4742.83,0.013900260193087871,0.11789936468483565,0.005907828101237949,3.490243287377679e-05,0.10587172680400014
LSTM,14,2024-01-02,2024-01-24,15,0.008823992519116423,0.01589072790234688,/content/daily_h22_run/results/models/lstm/lstm_window_14.pt,47.16,1.610118463e-05,2.28,13.2,2.222457126e-05,0.005676660893,0.06935501677,3.222447889e-05,2.492811189e-05,37.5172158871955,123007793,0.005009334229,70.00565705401277,-1.4334,64.0780737037818,3.9294,85009907.18,49.86913133005355,4.75,-0.434,4742.83,0.013900260193087871,0.11789936468483565,0.007066735383230459,4.993874897660134e-05,0.1435532560470245
