step,train_loss,validation_qlike,validation_qlike_h22,validation_mse,best_so_far,is_best,bad_checks,learning_rate,stopped_early,model,window_id,test_year,seed
20,0.19799025356769562,0.09778180251415637,0.15720308558683246,1.9640996217266065e-05,0.09778180251415637,True,0,0.001,False,lstm,8,2018,42
40,0.12367001920938492,0.08871954996656667,0.13668048083457765,1.5475437408943155e-05,0.08871954996656667,True,0,0.001,False,lstm,8,2018,42
60,0.08165211975574493,0.07273328033081104,0.11710439572913801,1.4050193059612721e-05,0.07273328033081104,True,0,0.001,False,lstm,8,2018,42
80,0.08317111432552338,0.0665077668541874,0.10745849138523897,1.3953613108825806e-05,0.0665077668541874,True,0,0.001,False,lstm,8,2018,42
100,0.05313342064619064,0.07676276251947248,0.13600629595559435,1.5247212096292403e-05,0.0665077668541874,False,1,0.001,False,lstm,8,2018,42
120,0.07903478294610977,0.0637842230959607,0.11976408258843768,1.3245615806194678e-05,0.0637842230959607,True,0,0.001,False,lstm,8,2018,42
140,0.06914102286100388,0.0680435470692723,0.11340042979253234,1.4541563660390842e-05,0.0637842230959607,False,1,0.001,False,lstm,8,2018,42
160,0.06691563129425049,0.06187535384482265,0.11879730393347185,1.6448394776410556e-05,0.06187535384482265,True,0,0.001,False,lstm,8,2018,42
180,0.042487431317567825,0.0557698155568259,0.11435545556388169,1.4669203299052704e-05,0.0557698155568259,True,0,0.001,False,lstm,8,2018,42
200,0.052885837852954865,0.05772582890021985,0.11796072831997464,1.805169462747256e-05,0.0557698155568259,False,1,0.001,False,lstm,8,2018,42
220,0.06731972843408585,0.06511797313425206,0.1389945825016298,1.4305223814568339e-05,0.0557698155568259,False,2,0.001,False,lstm,8,2018,42
240,0.07138466835021973,0.061803201971103186,0.13102724505482521,1.6068503651920014e-05,0.0557698155568259,False,3,0.001,False,lstm,8,2018,42
260,0.06669364124536514,0.06096121606740619,0.1356221386577544,1.6672005993976612e-05,0.0557698155568259,False,4,0.001,False,lstm,8,2018,42
280,0.06049540638923645,0.07885329040507236,0.16995122109894725,2.0134266130767093e-05,0.0557698155568259,False,5,0.001,False,lstm,8,2018,42
300,0.059085242450237274,0.08243931709783182,0.18720687683231102,2.1578927806557913e-05,0.0557698155568259,False,6,0.001,False,lstm,8,2018,42
320,0.04933307692408562,0.08487043846804138,0.1831117854822592,1.900196279065377e-05,0.0557698155568259,False,7,0.001,False,lstm,8,2018,42
340,0.04088538885116577,0.0775022803617495,0.16638933122568528,1.6158191614918783e-05,0.0557698155568259,False,8,0.001,False,lstm,8,2018,42
360,0.05655244365334511,0.09809787965494512,0.21267673643672005,1.8551237054367783e-05,0.0557698155568259,False,9,0.001,False,lstm,8,2018,42
380,0.037294767796993256,0.0715682247367638,0.14090026587414947,1.4035488659060209e-05,0.0557698155568259,False,10,0.001,True,lstm,8,2018,42
